Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,,1,0,0,0,1
2,Honda Jazz V,Chennai,2011,46000,First,18.19,1199.0,88.7,5.0,8.61,0,0,1,0,1
3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,,1,0,0,0,1
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,,1,0,0,1,0
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,,1,0,0,0,1
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,,1,0,0,1,0
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,,1,0,0,0,1
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,88.8,5.0,,1,0,0,0,1
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,10.65,0,0,1,0,1
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,,0,0,1,1,0
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,88.8,5.0,,1,0,0,0,1
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,,1,0,0,1,0
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,88.8,5.0,,1,0,0,1,0
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01,1,0,0,0,1
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,,1,0,0,0,1
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,88.8,5.0,,1,0,0,0,1
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,,1,0,0,0,1
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,,1,0,0,1,0
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,88.8,5.0,47.87,1,0,0,1,0
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,,1,0,0,0,1
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,,0,0,1,1,0
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,88.8,5.0,,0,0,1,0,1
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,,0,0,1,1,0
25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,,0,0,1,0,1
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,,1,0,0,0,1
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,,0,0,1,0,1
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.57,0,0,1,0,1
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,88.8,7.0,,1,0,0,0,1
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,,1,0,0,0,1
31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,,0,0,1,0,1
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,88.8,7.0,,1,0,0,1,0
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,,1,0,0,1,0
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33,0,0,1,0,1
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,88.8,5.0,,0,0,1,0,1
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.12,1,0,0,0,1
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,88.8,5.0,,0,0,1,0,1
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,,1,0,0,1,0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,,1,0,0,0,1
40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,,0,0,1,0,1
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,,0,0,1,0,1
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,88.8,6.0,,1,0,0,0,1
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,,0,0,1,0,1
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.64,0,0,1,1,0
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,,0,0,1,1,0
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,,1,0,0,0,1
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64,0,0,1,0,1
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,88.8,5.0,,1,0,0,0,1
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,88.8,6.0,,1,0,0,0,1
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,,1,0,0,1,0
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,88.8,5.0,,1,0,0,0,1
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,88.8,5.0,,1,0,0,0,1
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,88.8,5.0,,1,0,0,0,1
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,88.8,5.0,,0,0,1,0,1
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,,0,0,1,0,1
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,,0,0,1,0,1
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,,1,0,0,1,0
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,,0,0,1,0,1
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34,1,0,0,0,1
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,88.8,5.0,,1,0,0,0,1
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,88.8,5.0,,0,0,1,1,0
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,88.8,5.0,,1,0,0,0,1
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,88.8,5.0,,1,0,0,0,1
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,88.8,5.0,,1,0,0,1,0
66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,88.8,5.0,,0,0,1,1,0
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,88.8,5.0,49.14,1,0,0,1,0
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,,1,0,0,0,1
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81,1,0,0,0,1
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,88.8,5.0,,0,0,1,1,0
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,88.8,7.0,,1,0,0,0,1
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,,0,0,1,1,0
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.65,1,0,0,0,1
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,,0,0,1,1,0
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,,1,0,0,1,0
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,88.8,8.0,,0,0,1,0,1
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,88.8,7.0,,1,0,0,0,1
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,88.8,5.0,,1,0,0,0,1
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.67,0,0,1,0,1
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,,0,0,1,0,1
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,88.8,5.0,,1,0,0,0,1
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,,1,0,0,0,1
85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,,0,0,1,0,1
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,88.8,5.0,,1,0,0,1,0
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,88.8,5.0,,0,0,1,0,1
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,,0,0,1,0,1
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,,1,0,0,0,1
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,,1,0,0,1,0
